experiment_group,subject,dimension,train_keep_prob,disable_dropout,folds,n_folds,mean_accuracy,std_accuracy,mean_best_accuracy,std_best_accuracy,source_csv_count
ablation_s01_s08,s01,arousal,0.5,0,1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10,30,0.972083,0.016356,0.984583,0.011494,3
ablation_s01_s08,s01,valence,0.5,0,1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10,30,0.959583,0.024724,0.979583,0.015640,3
ablation_s01_s08,s02,arousal,0.5,0,1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10,20,0.829375,0.053073,0.866250,0.041288,2
ablation_s01_s08,s02,valence,0.5,0,1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10,30,0.817083,0.067197,0.850417,0.051284,3
ablation_s01_s08,s03,arousal,0.5,0,1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10,20,0.973750,0.021250,0.986875,0.010807,2
ablation_s01_s08,s03,valence,0.5,0,1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10,30,0.949167,0.020395,0.968750,0.019026,3
ablation_s01_s08,s04,arousal,0.5,0,1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10,20,0.871250,0.040331,0.899375,0.036331,2
ablation_s01_s08,s04,valence,0.5,0,1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10,30,0.819583,0.047728,0.858750,0.041098,3
ablation_s01_s08,s05,arousal,0.5,0,1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10,20,0.893750,0.050698,0.914375,0.043351,2
ablation_s01_s08,s05,valence,0.5,0,1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10,30,0.925417,0.031702,0.948333,0.022989,3
ablation_s01_s08,s06,arousal,0.5,0,1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10,20,0.886875,0.043387,0.915625,0.037889,2
ablation_s01_s08,s06,valence,0.5,0,1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10,30,0.909583,0.033955,0.932917,0.023158,3
ablation_s01_s08,s07,arousal,0.5,0,1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10,20,0.933750,0.025031,0.958125,0.022457,2
ablation_s01_s08,s07,valence,0.5,0,1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10,30,0.955000,0.028062,0.979167,0.020242,3
ablation_s01_s08,s08,arousal,0.5,0,1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10,20,0.955000,0.020691,0.970000,0.022500,2
ablation_s01_s08,s08,valence,0.5,0,1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10,30,0.952917,0.027326,0.972917,0.020177,3
ablation_smoke,s01,valence,0.5,0,1,1,0.500000,0.000000,0.500000,0.000000,1
