protocol,dimension,subject,final_acc_mean,final_acc_std,best_acc_mean,best_acc_std,final_f1_mean,final_f1_std,best_f1_mean,best_f1_std
Sample-level,arousal,s01,0.9725000023841858,0.02813658369785406,0.9900000095367432,0.007905686610963454,0.9709200724760411,0.029246598696920933,0.9893673890610428,0.008505838621438432
Sample-level,arousal,s02,0.8549999952316284,0.04174991588114789,0.8887499928474426,0.03458581963377507,0.8448231872241653,0.03915512663685595,0.8798123018951941,0.03289908259762186
Sample-level,arousal,s03,0.9749999940395355,0.01767768076882891,0.9862500071525574,0.012430362374335657,0.9535307821206358,0.03810335797680312,0.9709775669767741,0.037065302525495544
Sample-level,arousal,s04,0.8637499928474426,0.0487517889487984,0.9024999916553498,0.030505005114003565,0.8556633089727658,0.05153325786959906,0.8972153413549278,0.03316439062911424
Sample-level,arousal,s05,0.9174999892711639,0.040052050543792364,0.956249988079071,0.023011177419972922,0.9164935290704456,0.04060657374017753,0.9559530791270701,0.02306321189994504
Sample-level,arousal,s06,0.9099999904632569,0.04322100880261253,0.9424999952316284,0.02958040149023706,0.9080656745689574,0.04373401548326869,0.940545786131539,0.03091069719193314
Sample-level,arousal,s07,0.9312499821186065,0.030760053693871532,0.9574999988079071,0.018819316845607566,0.9244019981177545,0.033287509480418434,0.9540168182333415,0.019558762039985886
Sample-level,arousal,s08,0.9637500047683716,0.01608356219213965,0.9762500047683715,0.013756318422756311,0.9619856681939736,0.017735996890980495,0.9746927964175247,0.015302187372268239
Sample-level,valence,s01,0.9750000059604644,0.018633904255175176,0.9887500047683716,0.013756311201257062,0.9747414717908149,0.018820224474090333,0.9886426779431898,0.013880559798849003
Sample-level,valence,s02,0.8724999904632569,0.047434160853563216,0.9062499940395355,0.02716334183119497,0.8679206682715476,0.05013899168026799,0.9028601004647347,0.02917925157497736
Sample-level,valence,s03,0.9537499964237213,0.015645822531803476,0.9750000238418579,0.010206197528198839,0.9526972795889337,0.0163271084439632,0.9741152096481362,0.01200280858789749
Sample-level,valence,s04,0.8412499964237213,0.035379886087945,0.879999989271164,0.02838229345936608,0.8339236316257409,0.03243631350061048,0.8730928821206041,0.029317346537651192
Sample-level,valence,s05,0.9399999797344207,0.025549532654562477,0.9600000083446503,0.019364915363068093,0.9367577536423072,0.02806932841110413,0.9577883131969734,0.020265352249040313
Sample-level,valence,s06,0.9087499916553498,0.042101899063168566,0.9449999868869782,0.021408729935531327,0.8524626722294192,0.07648840954829339,0.9207997383556522,0.033037637289652304
Sample-level,valence,s07,0.9587500035762787,0.031208313423312633,0.9825000047683716,0.01972026896617648,0.9477108390361062,0.0408557854691794,0.9788953740930095,0.022859759946530337
Sample-level,valence,s08,0.9612499892711639,0.026647146961113397,0.9775000035762786,0.021889879978675617,0.9603099526714903,0.027088985943890566,0.9770221720290143,0.02207014823566544
Trial-level,arousal,s01,0.5700000107288361,0.14786238262893253,0.6487499952316285,0.11612222776604651,0.5131408290433459,0.13283115726102462,0.5311295872004295,0.16178771408990572
Trial-level,arousal,s02,0.5474999964237213,0.1259029844382033,0.6637500047683715,0.05902858706617796,0.5026396400729495,0.11118113427922371,0.5096613090593939,0.13547870655175978
Trial-level,arousal,s03,0.74375,0.03801723935721821,0.8,0.06846531968814577,0.426306166453237,0.012452261999843709,0.4438095238095238,0.020865621238292043
Trial-level,arousal,s04,0.5699999868869782,0.11886506792348166,0.68125,0.14121405583549043,0.5376222999265986,0.10175848932564951,0.5443462935381618,0.14045396499470236
Trial-level,arousal,s05,0.3812500238418579,0.12476541687847234,0.5512499749660492,0.11645813996710605,0.36988583597052893,0.13062829274551385,0.4443933151043611,0.13033192825790513
Trial-level,arousal,s06,0.5012500047683716,0.02227316343954667,0.64375,0.06584781275989754,0.4930359173158937,0.026171241422525544,0.5601603611296612,0.1135802088833692
Trial-level,arousal,s07,0.5512499988079071,0.14812631920084265,0.625,0.125,0.4300611938081686,0.08466665588052613,0.38168498168498166,0.0476472162388545
Trial-level,arousal,s08,0.4800000011920929,0.19422320257033282,0.59375,0.15449009868593896,0.4373131823971904,0.17645851969519002,0.46597861554373987,0.17506691295980492
Trial-level,valence,s01,0.5837500095367432,0.13539584017734257,0.6887500047683716,0.0840154210748504,0.5716088222832172,0.14055137408767487,0.6126660850257488,0.15824641303993994
Trial-level,valence,s02,0.4737500011920929,0.052922395365737715,0.5862499952316285,0.05085211460308815,0.46634048004851997,0.05122597901323786,0.48362631716913407,0.07176836712737275
Trial-level,valence,s03,0.51875,0.10560465145482835,0.712499988079071,0.11899643129970436,0.47966561841202804,0.11012936497000494,0.6072548698023587,0.17560689550091385
Trial-level,valence,s04,0.5587499976158142,0.0688351794902397,0.6562499880790711,0.10193441482391709,0.5372044728470927,0.0760297486583257,0.5489886834545045,0.15248236496937254
Trial-level,valence,s05,0.5662500083446502,0.12204314588757448,0.6674999952316284,0.15273548779484902,0.5039789345524982,0.11431069196497332,0.5604695499388932,0.19553659019955905
Trial-level,valence,s06,0.7100000023841858,0.12927078320906857,0.7587500095367432,0.13032410409887799,0.4343380617158676,0.06983123004629498,0.48837848531632455,0.13058225514319247
Trial-level,valence,s07,0.6612499952316284,0.07569986126717464,0.7100000023841858,0.06382960727516357,0.4444510170876711,0.02578244845857194,0.4655607920167273,0.0667538805572394
Trial-level,valence,s08,0.4849999904632568,0.1344549077606823,0.6675000071525574,0.10377638215696254,0.45074865764223426,0.15315999449389303,0.5657948087432347,0.13653064070298848
